question,answer
Why is the website not loading?,"Please refresh the page, clear cache, or check your internet connection."
Is there a dark mode in the app?,Dark mode may be available depending on the latest app version.
How do I update the app?,Go to the Play Store or App Store and install the latest version.
Can I use the service on multiple devices?,"Yes, you can log in on multiple devices, subject to account security rules."
How do I delete my account?,Please contact support or use the account deletion option if available.
Is my personal data safe?,"Yes, we follow standard security practices to protect your personal data."
Do you share my data with third parties?,We only share necessary data with trusted service partners as per our policy.
Where can I read your privacy policy?,Our privacy policy is available on the website footer and app settings.
Where can I read your terms and conditions?,You can find the terms and conditions on our official website.
How can I contact the seller?,Seller details are shown on the product page for eligible products.
Can I chat with customer support?,Live chat may be available during support hours.
What are your customer support timings?,Customer support is usually available during standard business hours.
Do you support regional languages?,Some parts of the app and support services are available in regional languages.
Can I pay using EMI?,"Yes, EMI options are available on eligible cards and products."
What is no cost EMI?,"No cost EMI lets you pay in installments without extra interest, subject to terms."
Can I use wallet balance for payment?,"Yes, wallet balance can be used for eligible purchases."
How do I add money to my wallet?,Wallet top-up options are available if supported on your account.
Why was my refund sent to wallet?,Some refunds are credited to wallet based on payment method or offer rules.
Can I transfer wallet balance to my bank account?,Wallet transfer to bank is usually not available unless clearly supported.
Do you offer gift cards?,"Yes, gift cards are available in selected denominations."
How do I redeem a gift card?,Enter the gift card code during payment or in the wallet section.
Can gift cards expire?,"Yes, gift cards may have an expiry date mentioned in the terms."
Do you have festive sales?,"Yes, we run festive and seasonal sales throughout the year."
How do I know about upcoming offers?,"Follow our app notifications, email updates, or website banners for offers."
Can I get cashback on orders?,Cashback offers are available on selected payment methods and promotions.
Why was my cashback not received?,"Please check the offer terms, eligibility, and processing timeline."
